Date/Time,Step Count (count) 
2019-02-05 00:00:00,2920
2019-02-06 00:00:00,4649
2019-02-07 00:00:00,2063
2019-02-08 00:00:00,1467
2019-02-09 00:00:00,3899
2019-02-10 00:00:00,4604
2019-02-11 00:00:00,2046
2019-02-12 00:00:00,7262
2019-02-13 00:00:00,4824
2019-02-14 00:00:00,7167
2019-02-15 00:00:00,10004
2019-02-16 00:00:00,6281
2019-02-17 00:00:00,3694
2019-02-18 00:00:00,4040
2019-02-19 00:00:00,8160
2019-02-20 00:00:00,1280
2019-02-21 00:00:00,2215
2019-02-22 00:00:00,7555
2019-02-23 00:00:00,849
2019-02-24 00:00:00,4534
2019-02-25 00:00:00,5741
2019-02-26 00:00:00,3654
2019-02-27 00:00:00,9682
2019-02-28 00:00:00,2117
2019-03-01 00:00:00,5551
2019-03-02 00:00:00,6849
2019-03-03 00:00:00,8344
2019-03-04 00:00:00,1875
2019-03-05 00:00:00,1939
2019-03-06 00:00:00,3016
2019-03-07 00:00:00,3130
2019-03-08 00:00:00,9288
2019-03-09 00:00:00,774
2019-03-10 00:00:00,497
2019-03-11 00:00:00,1846
2019-03-12 00:00:00,2134
2019-03-13 00:00:00,4630
2019-03-14 00:00:00,8505
2019-03-15 00:00:00,2303
2019-03-16 00:00:00,9770
2019-03-17 00:00:00,2031
2019-03-18 00:00:00,4773
2019-03-19 00:00:00,2486
2019-03-20 00:00:00,2813
2019-03-21 00:00:00,4388
2019-03-22 00:00:00,6497
2019-03-23 00:00:00,2914
2019-03-24 00:00:00,4602
2019-03-25 00:00:00,2720
2019-03-26 00:00:00,4409
2019-03-27 00:00:00,5358
2019-03-28 00:00:00,8644
2019-03-29 00:00:00,7590
2019-03-30 00:00:00,20934
2019-03-31 00:00:00,3416
2019-04-01 00:00:00,5669
2019-04-02 00:00:00,9863
2019-04-03 00:00:00,14053
2019-04-04 00:00:00,13061
2019-04-05 00:00:00,6396
2019-04-06 00:00:00,19630
2019-04-07 00:00:00,6073
2019-04-08 00:00:00,14280
2019-04-09 00:00:00,2248
2019-04-10 00:00:00,1393
2019-04-11 00:00:00,4064
2019-04-12 00:00:00,11963
2019-04-13 00:00:00,3566
